tx_no,web_slp_addr,web_tx_link,web_bch,web_bch_addr,chain_out_bch_addr,chain_in_bch_addr,chain_actually_pay,chain_actually_get,chain_gas,chain_tx_ago,chain_tx_datetime,verified_nft_amount,finish_num
a364bd01c75c6e87db1d585e565bf98c7ee692b6a950202606363ea30816f0d1,simpleledger:qpvfnjhqndmd9j79tpzztxv86dd9nzymfylk5vwcan,https://explorer.bitcoin.com/bch/tx/a364bd01c75c6e87db1d585e565bf98c7ee692b6a950202606363ea30816f0d1,0.00001,bitcoincash:qq2xglkmgsln0ahn8stvhnk7gyn0wpq0vucsznhzke,bitcoincash:qq2xglkmgsln0ahn8stvhnk7gyn0wpq0vucsznhzke,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,1e-05,7.8e-06,2.2e-06,2,2021-09-09T01:05:21,1,1
19675684ce329a7b11d97dc5937499171568373b4d204587d6fd8fa6708e5d5a,simpleledger:qpvfnjhqndmd9j79tpzztxv86dd9nzymfylk5vwcan,https://explorer.bitcoin.com/bch/tx/19675684ce329a7b11d97dc5937499171568373b4d204587d6fd8fa6708e5d5a,0.00001,bitcoincash:qz6rchxd3a8lva7fajt0f224jxk0yujgrvgvrux0fp,bitcoincash:qz6rchxd3a8lva7fajt0f224jxk0yujgrvgvrux0fp,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,1e-05,7.8e-06,2.2e-06,2,2021-09-09T01:06:45,1,1
31370eedb2298c5142d5a30aed7277b965eadc0b0e34a7b8d0efad8b41a189d5,simpleledger:qpvfnjhqndmd9j79tpzztxv86dd9nzymfylk5vwcan,https://explorer.bitcoin.com/bch/tx/31370eedb2298c5142d5a30aed7277b965eadc0b0e34a7b8d0efad8b41a189d5,0.00001,bitcoincash:qzh776gl82a637yd737ra5vrxnc87nrmsvkjkygs2t,bitcoincash:qzh776gl82a637yd737ra5vrxnc87nrmsvkjkygs2t,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,1e-05,7.8e-06,2.2e-06,2,2021-09-09T05:40:41,10,10
c0a5a0ed6a99fff1e32876f5dea0a3525e496b67cc292f660fd905ea1960f467,simpleledger:qrlwf78ermj7fes4qsgz5gwqcu4pg9urwqacukz0ze,https://explorer.bitcoin.com/bch/tx/c0a5a0ed6a99fff1e32876f5dea0a3525e496b67cc292f660fd905ea1960f467,0.001,bitcoincash:qzwue407twy3muet3294tt0cpxup34dga5t2wud6fc,bitcoincash:qzwue407twy3muet3294tt0cpxup34dga5t2wud6fc,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,2,2021-09-09T06:45:12,1,1
9d26d0e81e8fa643320e889c573bf3e3c51930c66670c97ff77eb42d30c9d454,simpleledger:qrtl66ns3eej6j837n9zxddesulvhfydkvmllp3t5k,https://explorer.bitcoin.com/bch/tx/9d26d0e81e8fa643320e889c573bf3e3c51930c66670c97ff77eb42d30c9d454,0.001,bitcoincash:qp4qq3zxaqrr8x5ceh2fp6q28946ftzx9spvzj8x8q,bitcoincash:qp4qq3zxaqrr8x5ceh2fp6q28946ftzx9spvzj8x8q,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,3,2021-09-09T07:00:40,1,1
aab7feae02c902f2f36ace46ee3888bf37dde08935029d1a3015819e2a8d6ea4,simpleledger:qqyvyca28nswvzlz53ecmd28htf9jk9xacvaak8zqe,https://explorer.bitcoin.com/bch/tx/aab7feae02c902f2f36ace46ee3888bf37dde08935029d1a3015819e2a8d6ea4,0.001,bitcoincash:qrvnkw3ae3pshfdxxdd478u7dp60h5374c0rv84c3f,bitcoincash:qrvnkw3ae3pshfdxxdd478u7dp60h5374c0rv84c3f,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,2,2021-09-09T07:08:03,1,1
ac9b7d46ce3160e65fb90dc9391f14e2b102a4f7fa95ebb43874012e16d09d41,simpleledger:qrsnjkz3sp0vr0ejnf9vhatddkf8crt8ay6eslupzx,https://explorer.bitcoin.com/bch/tx/ac9b7d46ce3160e65fb90dc9391f14e2b102a4f7fa95ebb43874012e16d09d41,0.001,bitcoincash:qppry7l4xzfwl9z5eprs4y0vu565vpghuq46c34ka3,bitcoincash:qppry7l4xzfwl9z5eprs4y0vu565vpghuq46c34ka3,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,2,2021-09-09T07:23:39,1,1
5333ce7f8a9749c177d5f869a8a951cdac429f5feb5c2d3d93d05c6fae66b18c,simpleledger:qzaewk6r9vy88nr52y7zhq56s95aywutkqnuayt8qp,https://explorer.bitcoin.com/bch/tx/5333ce7f8a9749c177d5f869a8a951cdac429f5feb5c2d3d93d05c6fae66b18c,0.001,bitcoincash:qqxe89p5y5z3vxu9xyq5e9eluqh6lztj5q647f268k,bitcoincash:qqxe89p5y5z3vxu9xyq5e9eluqh6lztj5q647f268k,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.00107125,0.00106905,2.2e-06,2,2021-09-09T08:02:20,1,1
caa9fbdcded70c2117af0a0676135b3ab8c4e1c11caa06dbc78c130118990006,simpleledger:qrh82gdktkm7h7nrwrds9e5lh6lxqg4vgct0cwarsq,https://explorer.bitcoin.com/bch/tx/caa9fbdcded70c2117af0a0676135b3ab8c4e1c11caa06dbc78c130118990006,0.001,bitcoincash:qq00fp2mp92j36m85j8lq0uy3atlclradvhx8ynga3,bitcoincash:qq00fp2mp92j36m85j8lq0uy3atlclradvhx8ynga3,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,2,2021-09-09T08:11:37,1,1
6ed446a4e8d346cf6bd1291e1e710f8003f62a3c073261e04e00263b237ae327,simpleledger:qp06pej44w5s32rpukxg7tg34eperjym3c6tjuatdq,https://explorer.bitcoin.com/bch/tx/6ed446a4e8d346cf6bd1291e1e710f8003f62a3c073261e04e00263b237ae327,0.001,bitcoincash:qq3vcey2ztjzuq5m0958tam4vlx8f2qpzs4sneypnk,bitcoincash:qq3vcey2ztjzuq5m0958tam4vlx8f2qpzs4sneypnk,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,1,2021-09-09T08:17:27,1,1
6a31d960cc798362b557011a26efd42d859a791cbcd59550c8d1cab0dbb39223,simpleledger:qr5he8tpvx9pdaaz444m3u2h2sxkjasg9cg9g5rd57,https://explorer.bitcoin.com/bch/tx/6a31d960cc798362b557011a26efd42d859a791cbcd59550c8d1cab0dbb39223,0.01,bitcoincash:qrs64xprdlfjdydrm3tn8h3nux6876f73gs4efw6j4,bitcoincash:qrs64xprdlfjdydrm3tn8h3nux6876f73gs4efw6j4,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.01,0.0099978,2.2e-06,1,2021-09-09T10:29:40,10,10
71652e75e61d8e4203d89e59f2234dbcf889b3adae3b2b05c5b5c70587c3054d,simpleledger:qrlwf78ermj7fes4qsgz5gwqcu4pg9urwqacukz0ze,https://explorer.bitcoin.com/bch/tx/71652e75e61d8e4203d89e59f2234dbcf889b3adae3b2b05c5b5c70587c3054d,0.001,bitcoincash:qpmyzl5ls2vd4qfmkl3uysdn6jneer4z9vshj4gls5,bitcoincash:qpmyzl5ls2vd4qfmkl3uysdn6jneer4z9vshj4gls5,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,2,2021-09-09T10:30:34,1,1
4054d794294a64ebaf0fa386f8d5dc01c05df6cfd9abbb017b98c8643a888c86,simpleledger:qq39nfufyldpzwdm8tmx0w7uyygwd4djfuue9dxs5x,https://explorer.bitcoin.com/bch/tx/4054d794294a64ebaf0fa386f8d5dc01c05df6cfd9abbb017b98c8643a888c86,0.001,bitcoincash:qzc3260w7687ed5pqeyfpe60mavyx9n2dvezua2scv,bitcoincash:qzc3260w7687ed5pqeyfpe60mavyx9n2dvezua2scv,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,3,2021-09-09T12:02:39,1,1
f72d17fb7061ef212e6baff98de55a7e83d3f4339b4f5681eff80a59cab5c20a,simpleledger:qpzlnj88dg2k38wk08ltnz3xeru8066y5c6h2vzfsl,https://explorer.bitcoin.com/bch/tx/f72d17fb7061ef212e6baff98de55a7e83d3f4339b4f5681eff80a59cab5c20a,0.001,bitcoincash:qrjvqn8tzlcgmlgs5ye84rfwxse4v59l45kthez44e,bitcoincash:qrjvqn8tzlcgmlgs5ye84rfwxse4v59l45kthez44e,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,3,2021-09-09T12:12:52,1,1
b70ce4fa8a12b4c31f4dfccfbff56b65067f995cf79afca8ad9528a4c1dfa518,simpleledger:qr6ce32ktep8fplsrkdqn78mwnda3t6rk5n5tzq97r,https://explorer.bitcoin.com/bch/tx/b70ce4fa8a12b4c31f4dfccfbff56b65067f995cf79afca8ad9528a4c1dfa518,0.01,bitcoincash:qztwqtzakyansvfghp95dhcdtxsugpvj6yx9fnfrpk,bitcoincash:qztwqtzakyansvfghp95dhcdtxsugpvj6yx9fnfrpk,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.01,0.0099978,2.2e-06,2,2021-09-09T12:13:44,10,0
bb3827b312a10da7b82f24a5bea8ea8d6e94f337606fe3fc2d0a91fa5c5397df,simpleledger:qqyvyca28nswvzlz53ecmd28htf9jk9xacvaak8zqe,https://explorer.bitcoin.com/bch/tx/bb3827b312a10da7b82f24a5bea8ea8d6e94f337606fe3fc2d0a91fa5c5397df,0.001,bitcoincash:qpca8hdx2vngn9ar850mt37582w8ak9nyslnykz37k,bitcoincash:qpca8hdx2vngn9ar850mt37582w8ak9nyslnykz37k,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,1,2021-09-09T12:36:50,1,0
43ec0fcaca6728370929cfd4fbee4a969caa927c89078d4aed97a3ac310e50e3,simpleledger:qrk7c4kap6jju5wk32lm0jl2q75ear8w6q2ud8vscd,https://explorer.bitcoin.com/bch/tx/43ec0fcaca6728370929cfd4fbee4a969caa927c89078d4aed97a3ac310e50e3,0.001,bitcoincash:qpvp2fm953tw9k69y4crl4efafnvztmfks3zdyw9ku,bitcoincash:qpvp2fm953tw9k69y4crl4efafnvztmfks3zdyw9ku,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,2,2021-09-09T13:01:53,1,0
032f9925a5ba113ff0c4be58dbcd0f104939b6510c4992a062666fd057669fd8,simpleledger:qzcgn7lxfrdhec0erz3enmm0c6dk5dk70ytfgq0glf,https://explorer.bitcoin.com/bch/tx/032f9925a5ba113ff0c4be58dbcd0f104939b6510c4992a062666fd057669fd8,0.007,bitcoincash:qrmuj6d3adce3pa6h23v3jqt3sncgvw6fcn3678zyc,bitcoincash:qrmuj6d3adce3pa6h23v3jqt3sncgvw6fcn3678zyc,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.0007,0.0006978,2.2e-06,1,2021-09-09T16:25:20,0,0
2b29712eb88c4ed5bd49f5dc9908df112776d5be42ff5b7b6b82cfaac5190a7a,simpleledger:qzcgn7lxfrdhec0erz3enmm0c6dk5dk70ytfgq0glf,https://explorer.bitcoin.com/bch/tx/2b29712eb88c4ed5bd49f5dc9908df112776d5be42ff5b7b6b82cfaac5190a7a,0.016,bitcoincash:qpvre34j3ufmrqkf6wyt42ddrstv6lff5ymy5fgl46,bitcoincash:qpvre34j3ufmrqkf6wyt42ddrstv6lff5ymy5fgl46,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.016,0.0159978,2.2e-06,1,2021-09-09T16:42:05,16,0
9b5c5cfb3acb438032fd13c868e16a228dcd929956104b9a10e0f5c2acc55b7f,simpleledger:qzcgn7lxfrdhec0erz3enmm0c6dk5dk70ytfgq0glf,https://explorer.bitcoin.com/bch/tx/9b5c5cfb3acb438032fd13c868e16a228dcd929956104b9a10e0f5c2acc55b7f,0.024,bitcoincash:qp3snvmr2tcmjp5u30suv8gj6pkmgpaqzv5wrnq2xa,bitcoincash:qp3snvmr2tcmjp5u30suv8gj6pkmgpaqzv5wrnq2xa,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.024,0.0239978,2.2e-06,1,2021-09-09T16:51:48,24,0
c78d40dc54a7464f7c786d975b01fdef00dcc5199789d94cd869775fb11864e6,simpleledger:qrlwf78ermj7fes4qsgz5gwqcu4pg9urwqacukz0ze,https://explorer.bitcoin.com/bch/tx/c78d40dc54a7464f7c786d975b01fdef00dcc5199789d94cd869775fb11864e6,0.001,bitcoincash:qrgpm84smx3w7pa0qglmc6m7qsz4lpx85qvasfwed8,bitcoincash:qrgpm84smx3w7pa0qglmc6m7qsz4lpx85qvasfwed8,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.001,0.0009978,2.2e-06,1,2021-09-09T16:54:07,1,0
59c3e198aec7b369f400dfe2530940087bf4f1197eab1ae2d3c05e46491c8cf5,simpleledger:qzcgn7lxfrdhec0erz3enmm0c6dk5dk70ytfgq0glf,https://explorer.bitcoin.com/bch/tx/59c3e198aec7b369f400dfe2530940087bf4f1197eab1ae2d3c05e46491c8cf5,0.015,bitcoincash:qq50e5jn6tmkmalxjjgm58e4pxqg9z5lycx5jvqkjn,bitcoincash:qq50e5jn6tmkmalxjjgm58e4pxqg9z5lycx5jvqkjn,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,0.015,0.0149978,2.2e-06,1,2021-09-09T16:56:18,15,0
